"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"SP151","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","DALE WATSON","AMANDA MILLER"
"SP152","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","DALE WATSON","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","AMANDA MILLER"
"SP153","CRAIG CONOVER","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped","skipped"
"SP154","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped","skipped","skipped"
"SP155","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","AMANDA MILLER","CRAIG CONOVER","MARCIA CONOVER-HARRIS"
"SP156","XIMENA M. BISHOP","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER","AMANDA MILLER"
"SP157","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","skipped","skipped","skipped","skipped"
"SP158","XIMENA M. BISHOP","CRAIG CONOVER","skipped","skipped","skipped","skipped","skipped"
"SP159","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","DALE WATSON"
"SP160","MICHAEL SNELSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped"
"SP161","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER"
"SP162","XIMENA M. BISHOP","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG JENSEN","DALE WATSON"
"SP163","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","XIMENA M. BISHOP","MICHAEL SNELSON","AMANDA MILLER"
"SP164","AMANDA MILLER","XIMENA M. BISHOP","CRAIG JENSEN","skipped","skipped","skipped","skipped"
"SP165","AMANDA MILLER","CRAIG CONOVER","XIMENA M. BISHOP","CRAIG JENSEN","MARCIA CONOVER-HARRIS","DALE WATSON","MICHAEL SNELSON"
"SP166","AMANDA MILLER","CRAIG JENSEN","CRAIG CONOVER","DALE WATSON","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","XIMENA M. BISHOP"
"SP167","XIMENA M. BISHOP","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG JENSEN","DALE WATSON"
"SP168","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON","CRAIG JENSEN","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP169","AMANDA MILLER","CRAIG CONOVER","XIMENA M. BISHOP","CRAIG JENSEN","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","DALE WATSON"
"SP170","CRAIG JENSEN","XIMENA M. BISHOP","CRAIG CONOVER","MICHAEL SNELSON","DALE WATSON","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP171","MICHAEL SNELSON","DALE WATSON","CRAIG CONOVER","CRAIG JENSEN","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP172","CRAIG CONOVER","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped","skipped"
"SP173","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","DALE WATSON","AMANDA MILLER"
"SP174","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","XIMENA M. BISHOP","skipped","skipped","skipped","skipped"
